"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,12.22,12.34,12.06,12.09,872542244,0,0.00,0.00,0.00
02/23/2011,22:00,12.10,12.31,12.09,12.24,671851768,0,0.00,0.00,0.00
02/24/2011,22:00,12.29,12.33,12.08,12.25,499898056,0,0.00,0.00,0.00
02/25/2011,22:00,12.33,12.44,12.31,12.43,380017932,0,0.00,0.00,0.00
02/28/2011,22:00,12.54,12.68,12.54,12.61,403073916,0,0.00,0.00,0.00
03/01/2011,22:00,12.70,12.70,12.42,12.48,456128652,0,0.00,0.00,0.00
03/02/2011,22:00,12.50,12.66,12.44,12.58,602588756,0,0.00,0.00,0.00
03/03/2011,22:00,12.76,12.85,12.71,12.84,500787056,0,0.00,0.00,0.00
03/04/2011,22:00,12.86,12.87,12.78,12.86,453265932,0,0.00,0.00,0.00
03/07/2011,22:00,12.91,12.92,12.55,12.69,546120596,0,0.00,0.00,0.00
03/08/2011,22:00,12.68,12.76,12.58,12.71,356315820,0,0.00,0.00,0.00
03/09/2011,22:00,12.67,12.67,12.52,12.59,453396132,0,0.00,0.00,0.00
03/10/2011,22:00,12.47,12.49,12.32,12.38,507888220,0,0.00,0.00,0.00
03/11/2011,22:00,12.33,12.58,12.32,12.57,471080064,0,0.00,0.00,0.00
03/14/2011,22:00,12.61,12.73,12.55,12.63,436454760,0,0.00,0.00,0.00
03/15/2011,22:00,12.22,12.42,12.15,12.34,721049336,0,0.00,0.00,0.00
03/16/2011,22:00,12.21,12.25,11.65,11.79,1156750504,0,0.00,0.00,0.00
03/17/2011,22:00,12.03,12.13,11.94,11.95,659419908,0,0.00,0.00,0.00
03/18/2011,22:00,12.04,12.08,11.79,11.81,753210416,0,0.00,0.00,0.00
03/21/2011,22:00,12.00,12.13,11.97,12.12,409390240,0,0.00,0.00,0.00
03/22/2011,22:00,12.23,12.24,12.11,12.19,326232648,0,13.02,11.79,12.40
03/23/2011,22:00,12.12,12.15,12.00,12.11,372993992,0,13.02,11.77,12.40
