"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,183.68,184.72,179.32,180.42,5639604,0,0.00,0.00,0.00
02/23/2011,22:00,180.25,181.15,174.39,176.68,5487837,0,0.00,0.00,0.00
02/24/2011,22:00,176.86,179.75,174.56,177.75,4661140,0,0.00,0.00,0.00
02/25/2011,22:00,178.95,180.75,177.10,177.24,4194514,0,0.00,0.00,0.00
02/28/2011,22:00,173.91,175.89,172.15,173.29,6788009,0,0.00,0.00,0.00
03/01/2011,22:00,173.53,173.96,168.67,169.44,5847443,0,0.00,0.00,0.00
03/02/2011,22:00,169.09,173.30,168.35,172.02,5186388,0,0.00,0.00,0.00
03/03/2011,22:00,173.71,174.46,172.05,172.79,4139104,0,0.00,0.00,0.00
03/04/2011,22:00,172.62,172.75,169.51,171.67,4924495,0,0.00,0.00,0.00
03/07/2011,22:00,171.92,172.09,166.24,169.08,5933430,0,0.00,0.00,0.00
03/08/2011,22:00,169.39,169.71,166.72,166.89,4223893,0,0.00,0.00,0.00
03/09/2011,22:00,166.67,169.75,163.90,169.05,7109627,0,0.00,0.00,0.00
03/10/2011,22:00,167.07,168.47,164.82,166.14,6000454,0,0.00,0.00,0.00
03/11/2011,22:00,165.50,169.20,164.12,168.07,4607082,0,0.00,0.00,0.00
03/14/2011,22:00,166.60,168.08,164.57,166.73,4023987,0,0.00,0.00,0.00
03/15/2011,22:00,161.39,166.88,160.76,165.08,4938226,0,0.00,0.00,0.00
03/16/2011,22:00,164.70,168.14,162.87,164.70,5214642,0,0.00,0.00,0.00
03/17/2011,22:00,165.91,166.30,160.78,160.97,6472880,0,0.00,0.00,0.00
03/18/2011,22:00,161.19,163.54,160.59,161.82,7449926,0,0.00,0.00,0.00
03/21/2011,22:00,163.37,165.79,161.72,164.53,4055811,0,0.00,0.00,0.00
03/22/2011,22:00,164.07,164.44,162.25,162.60,3612926,0,178.64,159.01,168.83
03/23/2011,22:00,162.30,166.26,160.82,165.32,4723630,0,177.49,159.03,168.26
03/24/2011,22:00,168.21,172.00,167.36,171.10,6286823,0,176.19,159.66,167.93
03/25/2011,22:00,171.64,173.49,170.30,170.98,4294302,0,174.85,160.37,167.61
03/28/2011,22:00,171.80,172.50,169.25,169.35,3400936,0,174.23,160.60,167.42
03/29/2011,22:00,170.73,174.84,170.07,174.62,4887443,0,175.14,160.21,167.68
03/30/2011,22:00,177.78,181.16,177.66,179.42,6860586,0,176.93,159.16,168.05
03/31/2011,22:00,179.31,181.57,178.50,180.13,4828345,0,178.57,158.26,168.41
04/01/2011,22:00,181.58,183.25,178.59,180.13,5686427,0,180.14,157.53,168.84
04/04/2011,22:00,180.89,183.61,180.69,182.94,4189692,0,182.40,156.66,169.53
04/05/2011,22:00,182.11,186.36,181.80,185.29,5570058,0,184.96,155.94,170.45
04/06/2011,22:00,186.15,188.27,181.12,182.76,5431265,0,186.58,155.69,171.13
04/07/2011,22:00,182.78,185.17,181.76,184.91,4565547,0,188.44,155.70,172.07
04/08/2011,22:00,185.26,186.22,182.78,184.71,3727206,0,190.05,155.76,172.90
04/11/2011,22:00,184.86,186.49,181.85,184.04,3297828,0,191.32,156.22,173.77
04/12/2011,22:00,183.06,184.59,179.42,180.48,5340273,0,191.85,157.23,174.54
04/13/2011,22:00,180.83,182.88,179.80,182.29,4228310,0,192.43,158.41,175.42
04/14/2011,22:00,181.39,182.08,179.36,181.82,3589689,0,192.32,160.61,176.46
04/15/2011,22:00,181.00,181.78,179.02,180.01,4272899,0,191.78,162.96,177.37
04/18/2011,22:00,178.38,178.91,175.37,178.34,4617288,0,191.21,164.91,178.06
04/19/2011,22:00,178.35,179.47,176.60,178.82,2647483,0,189.95,167.80,178.87
04/20/2011,22:00,181.62,185.00,181.59,183.87,4068097,0,189.15,170.45,179.80
04/21/2011,22:00,184.56,185.97,183.05,185.89,3351735,0,189.35,171.73,180.54
04/25/2011,22:00,185.65,186.35,183.77,185.42,3439714,0,189.13,173.39,181.26
04/26/2011,22:00,186.27,186.42,180.74,182.30,11240571,0,187.58,176.24,181.91
04/27/2011,22:00,183.20,197.80,182.75,196.63,23622949,0,190.75,175.27,183.01
04/28/2011,22:00,195.96,196.79,192.27,195.07,7277475,0,192.96,174.63,183.79
04/29/2011,22:00,194.38,196.59,193.78,195.81,6640873,0,194.96,174.20,184.58
05/02/2011,22:00,196.57,203.42,196.18,201.19,9399303,0,198.06,173.20,185.63
05/03/2011,22:00,201.00,202.59,196.69,198.45,6053289,0,199.96,172.85,186.40
05/04/2011,22:00,198.25,201.86,195.37,199.97,6551399,0,201.90,172.37,187.14
05/05/2011,22:00,198.66,201.00,196.12,197.11,4638222,0,203.09,172.63,187.86
05/06/2011,22:00,199.10,199.56,196.56,197.60,4017937,0,204.23,172.75,188.49
05/09/2011,22:00,198.34,202.36,196.78,200.80,5826058,0,205.80,172.79,189.30
05/10/2011,22:00,201.94,205.29,201.56,203.94,5891767,0,207.78,172.80,190.29
05/11/2011,22:00,203.12,205.50,202.25,204.38,4813424,0,209.39,173.58,191.49
05/12/2011,22:00,204.22,206.19,200.62,206.07,4820690,0,211.13,174.22,192.67
05/13/2011,22:00,205.70,206.39,202.36,202.56,4126181,0,211.94,175.48,193.71
05/16/2011,22:00,200.54,200.90,191.37,192.51,9389688,0,211.47,177.21,194.34
05/17/2011,22:00,191.82,195.98,191.76,194.81,7077636,0,210.64,179.68,195.16
05/18/2011,22:00,194.13,198.28,193.25,197.09,4958993,0,209.62,182.52,196.07
05/19/2011,22:00,198.33,199.95,197.55,198.81,3702622,0,209.19,184.45,196.82
05/20/2011,22:00,197.95,199.80,197.24,198.65,3382021,0,208.78,186.13,197.46
