"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,72.35,72.49,70.38,70.93,5561369,0,0.00,0.00,0.00
02/23/2011,22:00,70.94,71.49,70.00,70.23,5553517,0,0.00,0.00,0.00
02/24/2011,22:00,70.35,72.50,70.09,70.76,7015671,0,0.00,0.00,0.00
02/25/2011,22:00,73.94,74.29,72.06,72.30,8127868,0,0.00,0.00,0.00
02/28/2011,22:00,72.47,72.90,71.70,72.01,4104971,0,0.00,0.00,0.00
03/01/2011,22:00,71.93,72.23,69.99,70.12,5186546,0,0.00,0.00,0.00
03/02/2011,22:00,70.11,70.40,68.60,69.57,7070647,0,0.00,0.00,0.00
03/03/2011,22:00,70.13,71.83,70.13,71.71,5457873,0,0.00,0.00,0.00
03/04/2011,22:00,71.80,71.87,70.28,71.80,5707248,0,0.00,0.00,0.00
03/07/2011,22:00,71.60,72.07,69.91,70.88,5133965,0,0.00,0.00,0.00
03/08/2011,22:00,71.48,72.50,71.18,72.04,5663929,0,0.00,0.00,0.00
03/09/2011,22:00,72.01,72.42,71.33,72.09,5381980,0,0.00,0.00,0.00
03/10/2011,22:00,71.31,72.39,70.51,71.29,5511190,0,0.00,0.00,0.00
03/11/2011,22:00,70.29,71.89,70.26,71.64,3865232,0,0.00,0.00,0.00
03/14/2011,22:00,71.17,71.23,69.90,70.74,4381158,0,0.00,0.00,0.00
03/15/2011,22:00,68.34,70.23,68.34,69.69,6253202,0,0.00,0.00,0.00
03/16/2011,22:00,69.23,69.67,67.34,67.69,9632331,0,0.00,0.00,0.00
03/17/2011,22:00,68.58,69.03,67.85,68.30,4412615,0,0.00,0.00,0.00
03/18/2011,22:00,69.21,69.58,68.67,69.10,5067064,0,0.00,0.00,0.00
03/21/2011,22:00,70.29,71.68,70.04,71.20,5298771,0,0.00,0.00,0.00
03/22/2011,22:00,71.18,72.10,70.72,71.85,4728887,0,73.33,68.17,70.75
03/23/2011,22:00,71.62,73.07,71.14,72.72,5334654,0,73.58,68.17,70.88
03/24/2011,22:00,73.24,73.33,72.33,72.76,4361482,0,73.80,68.15,70.97
03/25/2011,22:00,72.94,73.50,72.33,73.34,4699751,0,73.98,68.07,71.03
03/28/2011,22:00,73.50,73.69,73.11,73.30,3858494,0,74.18,68.00,71.09
03/29/2011,22:00,73.07,73.93,73.03,73.62,4784479,0,74.51,68.02,71.27
03/30/2011,22:00,73.93,74.14,73.35,73.80,3877633,0,74.80,68.15,71.48
03/31/2011,22:00,73.81,74.47,73.47,73.93,4200252,0,75.08,68.10,71.59
04/01/2011,22:00,74.29,74.85,73.94,74.01,3869760,0,75.35,68.05,71.70
04/04/2011,22:00,73.38,74.11,73.37,73.95,3699819,0,75.61,68.10,71.85
04/05/2011,22:00,73.51,74.45,72.71,73.23,5231998,0,75.71,68.11,71.91
04/06/2011,22:00,73.33,73.93,72.80,73.72,4804410,0,75.88,68.11,71.99
04/07/2011,22:00,73.74,74.58,73.68,74.29,4379128,0,76.14,68.15,72.14
04/08/2011,22:00,74.66,74.85,73.04,73.47,3104783,0,76.26,68.21,72.24
04/11/2011,22:00,73.65,74.28,73.50,73.76,2694958,0,76.40,68.37,72.39
04/12/2011,22:00,73.22,73.58,72.96,73.08,3444077,0,76.39,68.73,72.56
04/13/2011,22:00,73.33,73.71,71.55,72.13,5082925,0,75.90,69.65,72.78
04/14/2011,22:00,71.83,72.47,70.88,72.30,4092711,0,75.35,70.60,72.98
04/15/2011,22:00,72.45,72.98,72.02,72.60,4177618,0,74.75,71.56,73.15
04/18/2011,22:00,72.72,73.28,71.75,72.79,6228799,0,74.57,71.90,73.23
04/19/2011,22:00,72.97,73.63,72.64,73.15,4353471,0,74.47,72.12,73.30
04/20/2011,22:00,74.21,75.32,74.15,75.07,6365139,0,74.79,72.04,73.42
04/21/2011,22:00,75.43,75.74,75.08,75.44,3164199,0,75.15,71.95,73.55
04/25/2011,22:00,75.46,75.56,74.68,74.90,2524915,0,75.32,71.93,73.63
04/26/2011,22:00,75.31,75.85,75.01,75.55,5102817,0,75.62,71.86,73.74
04/27/2011,22:00,76.11,77.31,75.05,76.12,7464019,0,76.01,71.72,73.86
04/28/2011,22:00,76.03,78.86,76.02,78.55,7360867,0,77.07,71.14,74.10
04/29/2011,22:00,78.88,80.34,78.85,79.78,8050416,0,78.25,70.54,74.39
05/02/2011,22:00,80.35,80.65,79.16,79.53,5635900,0,79.12,70.22,74.67
05/03/2011,22:00,79.24,80.21,79.01,79.51,4729968,0,79.86,70.04,74.95
05/04/2011,22:00,79.70,80.00,78.76,78.84,5738602,0,80.35,70.11,75.23
05/05/2011,22:00,78.52,79.74,78.09,78.45,4721112,0,80.72,70.21,75.47
05/06/2011,22:00,79.23,80.04,78.97,79.31,4569364,0,81.20,70.24,75.72
05/09/2011,22:00,79.25,80.15,79.15,79.64,3137617,0,81.66,70.39,76.03
05/10/2011,22:00,79.83,80.42,79.76,79.95,3855888,0,82.11,70.56,76.33
05/11/2011,22:00,79.64,79.80,78.73,79.08,3854565,0,82.33,70.94,76.63
05/12/2011,22:00,79.11,79.75,78.48,79.41,3710234,0,82.42,71.58,77.00
05/13/2011,22:00,79.62,80.09,78.56,79.03,3809897,0,82.37,72.30,77.33
05/16/2011,22:00,78.66,78.81,77.65,77.77,3801072,0,82.13,73.05,77.59
05/17/2011,22:00,77.72,77.73,75.83,76.68,5202027,0,81.79,73.78,77.79
05/18/2011,22:00,76.78,77.49,76.60,77.14,3637977,0,81.40,74.57,77.99
05/19/2011,22:00,77.34,78.45,77.25,78.02,3346199,0,81.27,75.00,78.14
05/20/2011,22:00,77.89,77.99,77.26,77.52,4002819,0,81.14,75.33,78.24
05/23/2011,22:00,76.32,76.76,75.77,76.28,3589447,0,80.95,75.67,78.31
05/24/2011,22:00,76.46,76.71,75.24,75.57,3784298,0,80.94,75.68,78.31
05/25/2011,22:00,75.26,76.78,75.13,76.32,4134831,0,80.92,75.72,78.32
05/26/2011,22:00,76.54,76.92,75.94,76.66,4378219,0,80.92,75.53,78.22
05/27/2011,22:00,77.00,77.50,76.62,76.99,3202670,0,80.73,75.44,78.08
05/31/2011,22:00,77.78,78.35,77.41,78.03,4708759,0,80.57,75.45,78.01
06/01/2011,22:00,77.95,78.10,75.26,75.35,5259475,0,80.52,75.09,77.80
06/02/2011,22:00,75.44,76.34,75.30,75.69,3606253,0,80.46,74.83,77.64
06/03/2011,22:00,74.90,75.05,74.09,74.84,4239243,0,80.51,74.42,77.46
06/06/2011,22:00,74.76,75.27,74.42,74.58,3310389,0,80.39,74.06,77.23
06/07/2011,22:00,74.81,75.10,74.16,74.18,3390458,0,80.18,73.73,76.95
06/08/2011,22:00,74.13,74.40,73.65,73.85,3772183,0,79.84,73.46,76.65
06/09/2011,22:00,73.83,74.55,73.43,74.18,2960724,0,79.56,73.25,76.40
06/10/2011,22:00,73.82,74.00,72.61,72.69,5140712,0,79.30,72.83,76.07
06/13/2011,22:00,73.06,73.41,72.69,72.94,4087214,0,78.97,72.55,75.76
06/14/2011,22:00,73.34,75.02,73.19,74.64,4775610,0,78.71,72.50,75.61
06/15/2011,22:00,74.09,75.51,73.57,73.85,6532419,0,78.62,72.31,75.47
06/16/2011,22:00,73.87,74.58,73.45,74.01,4446439,0,78.43,72.19,75.31
06/17/2011,22:00,74.62,74.93,73.76,74.16,5539477,0,78.01,72.22,75.12
06/20/2011,22:00,73.87,74.80,73.51,74.52,3812425,0,77.65,72.28,74.97
06/21/2011,22:00,74.96,75.02,73.78,73.98,5494429,0,77.50,72.21,74.85
06/22/2011,22:00,73.56,73.66,72.06,72.12,7239345,0,77.55,71.80,74.68
06/23/2011,22:00,71.17,71.63,70.29,71.25,8040670,0,77.56,71.29,74.43
06/24/2011,22:00,71.37,71.57,70.73,71.26,6088445,0,77.40,70.91,74.16
06/27/2011,22:00,71.45,71.94,71.33,71.62,4028127,0,77.04,70.74,73.89
06/28/2011,22:00,71.82,72.24,71.40,72.09,3837837,0,76.20,70.98,73.59
06/29/2011,22:00,72.25,72.96,71.86,72.72,3913885,0,75.96,70.96,73.46
06/30/2011,22:00,73.00,74.10,72.90,73.93,4245732,0,75.67,71.08,73.37
07/01/2011,22:00,73.81,74.73,73.80,74.27,3647775,0,75.58,71.11,73.34
07/05/2011,22:00,74.17,74.73,73.85,74.15,3128376,0,75.51,71.13,73.32
07/06/2011,22:00,74.10,75.16,74.01,74.74,3757881,0,75.60,71.10,73.35
07/07/2011,22:00,75.33,76.20,74.85,75.99,4977837,0,75.98,70.93,73.46
07/08/2011,22:00,75.58,75.58,74.57,75.07,4051169,0,76.10,70.90,73.50
07/11/2011,22:00,74.24,74.73,73.00,73.35,4379012,0,76.11,70.96,73.53
07/12/2011,22:00,73.79,73.86,71.79,71.93,5772914,0,76.14,70.82,73.48
07/13/2011,22:00,72.56,73.25,71.86,72.17,4707779,0,76.02,70.70,73.36
07/14/2011,22:00,71.94,72.32,71.00,71.19,5692256,0,76.04,70.41,73.23
07/15/2011,22:00,71.65,71.71,70.85,71.28,4080557,0,76.00,70.18,73.09
07/18/2011,22:00,70.61,70.70,69.07,69.55,7295227,0,76.11,69.61,72.86
07/19/2011,22:00,69.86,70.99,69.31,70.53,7434351,0,75.96,69.36,72.66
07/20/2011,22:00,71.05,73.30,70.76,72.07,8026155,0,75.82,69.31,72.56
07/21/2011,22:00,72.53,73.25,72.00,72.89,4302417,0,75.85,69.35,72.60
07/22/2011,22:00,73.19,73.19,72.24,72.67,2921707,0,75.87,69.48,72.67
07/25/2011,22:00,71.37,72.01,71.01,71.31,3990748,0,75.86,69.49,72.68
07/26/2011,22:00,71.44,71.44,69.86,70.16,7070440,0,75.95,69.26,72.60
07/27/2011,22:00,71.73,73.20,70.53,70.63,9807768,0,75.98,69.08,72.53
07/28/2011,22:00,71.04,72.33,70.59,70.66,5450001,0,75.97,68.89,72.43
07/29/2011,22:00,70.00,71.11,69.25,70.47,5964349,0,75.82,68.69,72.25
08/01/2011,22:00,71.58,71.63,69.53,70.33,5558320,0,75.59,68.52,72.06
08/02/2011,22:00,69.55,70.29,67.69,67.70,7052360,0,75.61,67.86,71.73
08/03/2011,22:00,67.75,68.11,66.10,67.34,6750274,0,75.43,67.30,71.36
08/04/2011,22:00,66.25,66.38,63.00,63.09,10709104,0,75.65,65.79,70.72
08/05/2011,22:00,64.12,64.45,61.41,62.75,11643681,0,75.73,64.48,70.10
08/08/2011,22:00,61.05,61.81,58.61,58.71,13562569,0,76.68,62.07,69.37
08/09/2011,22:00,60.18,62.46,58.76,62.34,14124373,0,76.70,61.08,68.89
08/10/2011,22:00,60.92,61.20,57.23,57.41,13551335,0,77.27,59.04,68.15
08/11/2011,22:00,57.64,59.57,56.01,58.85,15539708,0,77.39,57.69,67.54
08/12/2011,22:00,59.95,61.87,59.16,61.75,10083494,0,77.06,57.06,67.06
08/15/2011,22:00,62.06,62.73,61.37,62.70,6933515,0,76.82,56.61,66.72
08/16/2011,22:00,61.72,62.98,61.41,62.23,6841309,0,76.43,56.18,66.30
08/17/2011,22:00,62.36,62.92,61.61,62.18,6263385,0,75.72,55.89,65.81
08/18/2011,22:00,60.40,60.72,58.22,58.93,8110316,0,74.90,55.32,65.11
08/19/2011,22:00,58.20,59.43,57.47,57.54,9229886,0,74.03,54.68,64.35
08/22/2011,22:00,59.14,59.36,58.04,58.38,6863980,0,73.16,54.26,63.71
08/23/2011,22:00,58.68,60.77,58.19,60.77,6527734,0,72.28,54.19,63.24
08/24/2011,22:00,60.51,61.91,60.45,61.69,4853747,0,71.19,54.39,62.79
08/25/2011,22:00,61.99,62.39,60.50,61.10,6443765,0,69.92,54.71,62.31
08/26/2011,22:00,60.64,62.97,60.13,62.80,6201405,0,68.56,55.29,61.93
08/29/2011,22:00,63.98,64.78,63.60,64.60,4303837,0,67.21,56.07,61.64
08/30/2011,22:00,65.23,66.54,64.80,66.03,6984939,0,66.80,56.32,61.56
08/31/2011,22:00,66.69,67.29,66.14,66.86,6807902,0,66.68,56.40,61.54
09/01/2011,22:00,67.00,67.73,66.00,66.05,6170146,0,67.15,56.21,61.68
09/02/2011,22:00,64.71,65.15,63.71,64.03,4740690,0,67.30,56.20,61.75
09/06/2011,22:00,61.83,62.90,61.22,62.77,6478737,0,67.33,56.57,61.95
09/07/2011,22:00,63.94,65.21,63.42,64.90,5533286,0,67.61,56.54,62.08
09/08/2011,22:00,64.34,64.50,62.61,62.81,6870363,0,67.46,57.24,62.35
09/09/2011,22:00,62.11,63.09,61.44,61.79,5415796,0,67.35,57.64,62.50
09/12/2011,22:00,60.79,62.53,60.33,62.39,5521573,0,67.37,57.68,62.53
09/13/2011,22:00,62.19,63.59,62.03,62.85,5283518,0,67.38,57.69,62.53
09/14/2011,22:00,63.05,64.07,61.64,63.03,5782902,0,67.43,57.72,62.58
09/15/2011,22:00,63.64,64.61,63.45,64.32,5263658,0,67.59,57.78,62.68
09/16/2011,22:00,64.78,65.75,64.52,65.38,6928142,0,67.73,58.28,63.00
09/19/2011,22:00,64.02,64.40,62.95,64.15,4837107,0,67.35,59.32,63.33
09/20/2011,22:00,64.27,64.64,63.50,63.56,3431623,0,66.91,60.28,63.59
09/21/2011,22:00,63.54,63.82,60.99,61.02,4524971,0,66.88,60.33,63.61
09/22/2011,22:00,59.33,59.59,57.53,58.72,12055693,0,67.29,59.63,63.46
09/23/2011,22:00,58.56,59.77,58.06,59.51,6239605,0,67.46,59.30,63.38
09/26/2011,22:00,60.61,62.27,60.00,62.01,7033126,0,67.45,59.22,63.34
09/27/2011,22:00,64.13,64.28,62.41,62.78,6410587,0,67.33,59.17,63.25
09/28/2011,22:00,63.37,64.05,61.81,61.92,4695911,0,66.95,59.13,63.04
09/29/2011,22:00,63.17,63.70,61.36,62.37,6094328,0,66.32,59.32,62.82
09/30/2011,22:00,61.50,62.18,60.45,60.51,5467806,0,65.85,59.23,62.54
10/03/2011,22:00,60.10,61.53,57.85,58.25,8291484,0,65.97,58.53,62.25
10/04/2011,22:00,57.53,59.23,56.90,59.14,7840037,0,66.02,58.12,62.07
10/05/2011,22:00,59.05,60.04,58.65,59.96,5825511,0,65.65,58.00,61.82
10/06/2011,22:00,60.01,61.79,59.45,61.48,5565869,0,65.56,57.96,61.76
10/07/2011,22:00,61.91,62.96,61.43,61.81,5580750,0,65.56,57.96,61.76
10/10/2011,22:00,62.87,64.19,62.75,64.03,4605390,0,65.76,57.92,61.84
10/11/2011,22:00,63.60,64.25,63.50,63.97,3192271,0,65.90,57.89,61.90
10/12/2011,22:00,64.46,65.23,64.13,64.32,5136547,0,66.08,57.84,61.96
10/13/2011,22:00,63.78,64.09,63.05,63.53,3154622,0,65.96,57.88,61.92
10/14/2011,22:00,64.00,64.28,63.41,63.89,3840122,0,65.68,58.01,61.85
10/17/2011,22:00,63.41,63.51,61.66,61.78,4873358,0,65.41,58.04,61.73
10/18/2011,22:00,61.92,64.24,61.33,63.47,6168142,0,65.40,58.05,61.72
10/19/2011,22:00,62.61,64.27,62.53,63.11,4849491,0,65.54,58.12,61.83
10/20/2011,22:00,63.01,63.73,62.18,62.49,6291595,0,65.45,58.59,62.02
10/21/2011,22:00,63.19,64.64,63.10,64.59,6256627,0,65.67,58.87,62.27
10/24/2011,22:00,64.41,65.06,63.93,64.75,5190758,0,65.97,58.84,62.41
