"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,310.02,312.47,303.89,305.11,7284416,0,0.00,0.00,0.00
02/23/2011,22:00,305.17,307.35,302.00,305.66,5783756,0,0.00,0.00,0.00
02/24/2011,22:00,305.70,306.55,300.68,304.41,5425918,0,0.00,0.00,0.00
02/25/2011,22:00,305.93,307.36,304.75,305.02,3871704,0,0.00,0.00,0.00
02/28/2011,22:00,305.00,308.25,304.01,306.70,4568672,0,0.00,0.00,0.00
03/01/2011,22:00,308.89,309.61,299.65,300.38,6647150,0,0.00,0.00,0.00
03/02/2011,22:00,299.90,303.00,297.60,300.40,4053866,0,0.00,0.00,0.00
03/03/2011,22:00,303.19,305.75,302.50,304.78,3898670,0,0.00,0.00,0.00
03/04/2011,22:00,304.17,304.49,300.10,300.31,6023084,0,0.00,0.00,0.00
03/07/2011,22:00,300.28,301.85,293.50,295.83,6923476,0,0.00,0.00,0.00
03/08/2011,22:00,296.47,298.99,295.10,296.16,4575542,0,0.00,0.00,0.00
03/09/2011,22:00,295.50,297.26,292.88,295.89,4301982,0,0.00,0.00,0.00
03/10/2011,22:00,292.72,293.31,289.73,290.15,6254422,0,0.00,0.00,0.00
03/11/2011,22:00,289.11,290.00,286.67,288.36,6058802,0,0.00,0.00,0.00
03/14/2011,22:00,286.40,289.15,284.01,285.00,5627938,0,0.00,0.00,0.00
03/15/2011,22:00,278.75,285.50,277.75,284.78,8012762,0,0.00,0.00,0.00
03/16/2011,22:00,284.01,284.90,275.64,278.55,7601424,0,0.00,0.00,0.00
03/17/2011,22:00,282.24,284.50,280.27,280.68,5799454,0,0.00,0.00,0.00
03/18/2011,22:00,282.32,284.00,279.87,280.53,6605700,0,0.00,0.00,0.00
03/21/2011,22:00,285.11,289.90,284.51,288.25,6044348,0,0.00,0.00,0.00
03/22/2011,22:00,288.64,289.62,286.26,288.66,3774370,0,312.18,275.87,294.02
03/23/2011,22:00,287.60,291.23,286.00,291.08,3632328,0,310.68,275.91,293.30
03/24/2011,22:00,292.72,294.20,289.40,293.45,4195956,0,309.37,276.13,292.75
03/25/2011,22:00,293.44,293.46,289.62,289.87,5718994,0,307.66,276.32,291.99
03/28/2011,22:00,291.04,292.50,287.36,287.68,4437820,0,305.26,276.82,291.04
03/29/2011,22:00,288.00,290.95,286.51,290.87,3210276,0,304.13,277.00,290.56
03/30/2011,22:00,292.19,292.75,290.29,290.92,2844950,0,302.89,277.29,290.09
03/31/2011,22:00,291.50,294.08,290.87,293.38,4062770,0,300.54,278.50,289.52
04/01/2011,22:00,294.38,297.60,294.38,295.90,5226532,0,299.60,279.00,289.30
04/04/2011,22:00,296.50,297.37,291.55,293.84,4109634,0,299.28,279.12,289.20
04/05/2011,22:00,290.54,290.75,282.84,284.55,12096374,0,298.36,278.87,288.62
04/06/2011,22:00,286.09,287.58,284.00,287.09,5336770,0,297.35,279.01,288.18
04/07/2011,22:00,287.87,290.32,287.10,290.00,5063950,0,297.34,279.01,288.17
04/08/2011,22:00,292.44,292.45,289.03,289.08,3805162,0,297.38,279.04,288.21
04/11/2011,22:00,288.10,289.05,286.50,288.69,3716764,0,297.45,279.34,288.39
04/12/2011,22:00,287.50,288.46,284.03,285.31,4171532,0,297.43,279.40,288.42
04/13/2011,22:00,287.76,288.80,285.88,288.14,4143292,0,296.70,281.10,288.90
04/14/2011,22:00,287.60,289.73,286.05,289.26,10912578,0,296.16,282.50,289.33
04/15/2011,22:00,272.65,272.88,265.03,265.35,28100026,0,300.56,276.57,288.57
04/18/2011,22:00,263.21,263.83,259.50,263.42,10082178,0,303.58,271.07,287.33
04/19/2011,22:00,264.98,265.44,260.45,260.77,5370790,0,305.86,266.01,285.93
04/20/2011,22:00,262.95,263.41,260.70,262.87,6118320,0,306.66,262.38,284.52
04/21/2011,22:00,263.75,264.14,261.20,262.55,4942112,0,306.67,259.29,282.98
04/25/2011,22:00,262.63,263.50,261.01,262.53,3259866,0,306.67,256.55,281.61
04/26/2011,22:00,263.26,268.72,262.61,266.41,7061182,0,306.28,254.81,280.55
04/27/2011,22:00,269.00,269.06,267.18,268.88,4595680,0,305.20,253.69,279.45
04/28/2011,22:00,269.03,269.62,267.04,268.99,4074756,0,303.92,252.78,278.35
04/29/2011,22:00,270.00,272.05,269.26,272.05,8456934,0,302.03,252.54,277.28
05/02/2011,22:00,272.85,272.87,268.56,269.28,4267944,0,299.38,252.53,275.95
05/03/2011,22:00,268.57,271.01,264.82,266.95,4163148,0,296.83,252.39,274.61
05/04/2011,22:00,267.59,269.50,266.51,267.90,4233910,0,295.69,251.86,273.78
05/05/2011,22:00,266.93,269.71,265.75,267.14,3994108,0,293.98,251.58,272.78
05/06/2011,22:00,269.08,270.73,267.59,267.65,4112372,0,291.42,251.90,271.66
05/09/2011,22:00,267.50,269.25,265.55,268.84,3894838,0,288.74,252.56,270.65
05/10/2011,22:00,270.00,272.22,268.77,271.33,4082710,0,285.88,253.68,269.78
05/11/2011,22:00,270.07,271.77,266.85,267.73,4677750,0,283.35,254.45,268.90
05/12/2011,22:00,267.62,268.47,265.46,267.53,2896406,0,279.31,256.43,267.87
05/13/2011,22:00,267.31,267.96,264.53,264.78,4215282,0,272.59,260.71,266.65
05/16/2011,22:00,263.16,263.64,258.20,259.21,5913108,0,273.10,259.59,266.34
05/17/2011,22:00,257.72,265.61,257.52,265.23,6609748,0,273.07,259.79,266.43
05/18/2011,22:00,264.77,265.17,262.85,264.91,3908586,0,272.80,260.47,266.64
05/19/2011,22:00,266.37,268.27,264.86,265.63,4942272,0,272.72,260.83,266.78
05/20/2011,22:00,265.90,266.00,261.57,262.02,4637746,0,272.77,260.73,266.75
05/23/2011,22:00,258.30,260.00,256.70,259.20,4505276,0,273.21,259.95,266.58
05/24/2011,22:00,260.19,261.98,259.08,259.13,3777076,0,273.61,258.83,266.22
05/25/2011,22:00,258.67,261.39,258.63,259.84,2603134,0,273.54,257.99,265.77
05/26/2011,22:00,258.85,261.06,257.50,259.07,4237962,0,273.42,257.12,265.27
05/27/2011,22:00,259.24,260.90,258.15,260.45,3492792,0,272.47,256.91,264.69
05/31/2011,22:00,262.50,264.53,261.75,264.51,5375716,0,271.94,256.97,264.45
06/01/2011,22:00,264.02,266.60,262.66,262.80,5914344,0,271.67,256.82,264.24
06/02/2011,22:00,263.79,265.15,261.24,264.03,4408844,0,271.29,256.82,264.05
06/03/2011,22:00,261.00,263.80,260.75,261.54,3496924,0,270.94,256.60,263.77
06/06/2011,22:00,261.77,263.41,259.63,260.53,3884176,0,270.49,256.35,263.42
06/07/2011,22:00,261.45,262.32,259.50,259.52,3815018,0,269.75,256.15,262.95
06/08/2011,22:00,258.27,260.62,257.89,259.59,3308194,0,268.12,256.61,262.36
06/09/2011,22:00,260.00,260.00,257.82,258.37,3378172,0,267.34,256.45,261.89
06/10/2011,22:00,257.04,258.35,254.65,254.75,4880950,0,266.90,255.61,261.26
06/13/2011,22:00,255.00,255.10,251.09,252.37,4854416,0,267.24,254.03,260.64
06/14/2011,22:00,254.08,257.04,253.50,254.19,4682922,0,267.55,253.22,260.38
06/15/2011,22:00,252.52,254.18,250.31,251.48,4146602,0,267.48,251.91,259.70
06/16/2011,22:00,251.41,253.29,248.34,250.19,5514432,0,267.39,250.53,258.96
06/17/2011,22:00,253.09,253.35,242.40,242.51,10503092,0,268.34,247.27,257.80
06/20/2011,22:00,242.50,243.12,239.62,242.29,6057278,0,269.13,244.51,256.82
06/21/2011,22:00,243.60,246.97,242.37,246.50,5530714,0,269.23,243.14,256.18
06/22/2011,22:00,245.73,246.18,243.37,243.50,4815944,0,269.48,241.33,255.40
06/23/2011,22:00,241.07,241.43,236.87,240.11,9604604,0,269.81,239.02,254.41
