"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,81.32,81.42,79.98,80.18,1808384,0,0.00,0.00,0.00
02/23/2011,22:00,80.30,80.78,79.62,80.14,1991150,0,0.00,0.00,0.00
02/24/2011,22:00,80.14,80.72,79.88,80.22,1504173,0,0.00,0.00,0.00
02/25/2011,22:00,79.69,80.28,79.03,80.11,1982220,0,0.00,0.00,0.00
02/28/2011,22:00,80.51,80.58,79.01,79.16,2430220,0,0.00,0.00,0.00
03/01/2011,22:00,79.47,80.05,78.80,79.12,1960601,0,0.00,0.00,0.00
03/02/2011,22:00,79.31,79.88,78.87,79.46,1629532,0,0.00,0.00,0.00
03/03/2011,22:00,79.84,80.89,79.84,80.78,1692478,0,0.00,0.00,0.00
03/04/2011,22:00,80.70,80.80,78.90,79.85,2090079,0,0.00,0.00,0.00
03/07/2011,22:00,79.94,80.50,78.95,79.30,1864479,0,0.00,0.00,0.00
03/08/2011,22:00,79.32,80.52,79.32,80.27,1881243,0,0.00,0.00,0.00
03/09/2011,22:00,80.20,80.79,79.96,80.48,2156642,0,0.00,0.00,0.00
03/10/2011,22:00,79.74,80.19,78.82,79.04,1931805,0,0.00,0.00,0.00
03/11/2011,22:00,79.08,80.78,78.83,80.47,2444860,0,0.00,0.00,0.00
03/14/2011,22:00,79.74,80.72,79.59,80.47,5269999,0,0.00,0.00,0.00
03/15/2011,22:00,79.42,80.20,78.42,79.68,2409078,0,0.00,0.00,0.00
03/16/2011,22:00,79.28,80.10,78.20,78.41,2595878,0,0.00,0.00,0.00
03/17/2011,22:00,79.79,80.98,79.45,80.41,2920794,0,0.00,0.00,0.00
03/18/2011,22:00,81.42,81.49,80.10,80.53,3357634,0,0.00,0.00,0.00
03/21/2011,22:00,81.32,81.69,81.14,81.23,2278056,0,0.00,0.00,0.00
03/22/2011,22:00,81.38,81.67,81.01,81.30,1255357,0,81.50,78.54,80.02
03/23/2011,22:00,80.98,81.34,80.60,81.18,1758270,0,81.63,78.51,80.07
03/24/2011,22:00,81.64,81.75,80.61,80.80,1983575,0,81.69,78.51,80.10
03/25/2011,22:00,81.10,81.18,80.34,80.37,1924049,0,81.71,78.52,80.12
03/28/2011,22:00,80.77,81.00,80.11,80.26,1330561,0,81.71,78.63,80.17
03/29/2011,22:00,80.24,80.57,79.57,80.35,1588024,0,81.69,78.77,80.23
03/30/2011,22:00,80.50,80.67,79.72,79.76,2277665,0,81.68,78.81,80.25
03/31/2011,22:00,79.84,80.68,79.78,80.40,2897363,0,81.64,78.81,80.23
04/01/2011,22:00,80.50,81.34,80.36,80.98,1545681,0,81.72,78.85,80.28
04/04/2011,22:00,80.75,81.24,80.50,80.99,1808841,0,81.76,78.97,80.37
04/05/2011,22:00,80.55,81.63,80.41,81.11,2007405,0,81.84,78.98,80.41
04/06/2011,22:00,81.11,81.75,80.85,81.49,1780146,0,81.97,78.95,80.46
04/07/2011,22:00,81.29,81.80,80.91,81.79,1677604,0,82.06,79.13,80.60
04/08/2011,22:00,81.80,81.92,80.20,80.50,1939484,0,82.06,79.14,80.60
04/11/2011,22:00,80.34,81.22,80.04,80.51,1823694,0,82.07,79.14,80.60
04/12/2011,22:00,80.52,80.52,80.02,80.37,1862017,0,82.04,79.23,80.64
04/13/2011,22:00,80.44,80.87,77.83,78.31,4251323,0,82.07,79.19,80.63
04/14/2011,22:00,77.87,78.54,75.81,77.73,3854881,0,82.41,78.58,80.50
04/15/2011,22:00,78.01,78.37,77.48,78.19,2518214,0,82.54,78.22,80.38
04/18/2011,22:00,77.46,77.53,76.54,76.90,2918575,0,82.77,77.56,80.16
04/19/2011,22:00,77.23,77.50,76.82,77.01,1994364,0,82.83,77.07,79.95
04/20/2011,22:00,77.67,78.73,77.59,77.88,1979452,0,82.75,76.82,79.79
04/21/2011,22:00,77.86,78.06,77.61,77.78,1910899,0,82.68,76.59,79.63
04/25/2011,22:00,77.48,77.86,77.08,77.44,2458891,0,82.66,76.32,79.49
04/26/2011,22:00,77.97,79.61,77.84,79.04,3027921,0,82.58,76.27,79.43
04/27/2011,22:00,79.09,79.81,78.71,79.16,1728364,0,82.49,76.24,79.37
04/28/2011,22:00,79.14,79.33,78.49,79.06,2402679,0,82.46,76.21,79.33
04/29/2011,22:00,79.06,79.45,78.88,79.25,2078465,0,82.36,76.19,79.27
05/02/2011,22:00,79.23,79.90,78.54,78.74,3125427,0,82.15,76.17,79.16
05/03/2011,22:00,78.50,80.17,78.50,79.89,2288839,0,82.00,76.21,79.11
05/04/2011,22:00,79.85,80.35,78.78,78.91,4360548,0,81.74,76.25,79.00
05/05/2011,22:00,78.72,80.40,78.51,79.81,2298232,0,81.44,76.39,78.91
05/06/2011,22:00,80.38,80.80,79.58,79.95,2048951,0,81.04,76.60,78.82
05/09/2011,22:00,79.96,80.51,79.63,79.93,1706138,0,80.94,76.65,78.79
05/10/2011,22:00,80.24,80.46,79.42,79.45,2191400,0,80.76,76.72,78.74
05/11/2011,22:00,79.45,80.20,79.24,79.38,2275634,0,80.59,76.79,78.69
05/12/2011,22:00,79.30,80.36,79.25,80.07,1552084,0,80.76,76.79,78.78
05/13/2011,22:00,79.92,80.39,79.42,79.59,1670155,0,80.83,76.92,78.87
05/16/2011,22:00,79.34,80.52,79.27,80.34,2440052,0,81.01,76.95,78.98
05/17/2011,22:00,79.91,80.38,78.84,79.56,2008107,0,80.91,77.31,79.11
05/18/2011,22:00,79.58,80.17,79.13,80.01,1315332,0,80.82,77.70,79.26
05/19/2011,22:00,80.40,80.83,80.08,80.38,1047868,0,80.88,77.89,79.39
05/20/2011,22:00,80.32,80.37,79.53,79.75,1694439,0,80.79,78.18,79.49
05/23/2011,22:00,79.02,79.80,78.79,79.23,1833463,0,80.50,78.65,79.57
05/24/2011,22:00,79.23,79.33,78.51,78.60,2384783,0,80.54,78.56,79.55
05/25/2011,22:00,78.52,78.60,78.00,78.46,2329153,0,80.61,78.43,79.52
05/26/2011,22:00,78.33,78.68,77.54,77.74,2995415,0,80.78,78.13,79.45
05/27/2011,22:00,77.08,77.54,76.68,77.26,1796100,0,80.99,77.72,79.35
05/31/2011,22:00,77.52,78.11,77.27,77.90,2370294,0,81.05,77.57,79.31
06/01/2011,22:00,77.79,78.11,75.74,75.76,2613738,0,81.41,76.80,79.10
06/02/2011,22:00,75.78,76.39,75.68,75.73,2307136,0,81.68,76.21,78.94
06/03/2011,22:00,75.22,76.46,75.10,76.28,2560516,0,81.70,75.83,78.77
06/06/2011,22:00,76.20,77.60,76.10,77.38,3200626,0,81.58,75.70,78.64
06/07/2011,22:00,77.46,77.72,77.26,77.29,2279604,0,81.44,75.57,78.51
06/08/2011,22:00,77.15,77.75,77.02,77.12,2398784,0,81.35,75.43,78.39
06/09/2011,22:00,77.18,78.02,76.80,77.89,1896054,0,81.25,75.38,78.32
06/10/2011,22:00,77.68,78.01,77.21,77.30,2404861,0,81.03,75.33,78.18
06/13/2011,22:00,77.66,79.08,77.51,78.86,3047986,0,80.94,75.35,78.14
06/14/2011,22:00,79.25,80.00,79.11,79.64,2552018,0,80.81,75.41,78.11
06/15/2011,22:00,79.04,80.00,78.99,79.63,2217630,0,80.82,75.40,78.11
06/16/2011,22:00,79.56,80.35,79.30,79.91,2493014,0,80.80,75.41,78.11
06/17/2011,22:00,80.47,81.15,79.79,80.01,3136626,0,80.72,75.45,78.09
06/20/2011,22:00,79.98,80.83,79.72,80.34,4146210,0,80.84,75.40,78.12
06/21/2011,22:00,80.81,80.95,80.19,80.65,1863894,0,81.09,75.29,78.19
06/22/2011,22:00,80.62,80.94,79.95,80.01,1710009,0,81.26,75.25,78.26
06/23/2011,22:00,79.88,80.04,78.57,79.69,1811984,0,81.39,75.25,78.32
06/24/2011,22:00,79.81,79.81,79.12,79.20,1904940,0,81.47,75.31,78.39
06/27/2011,22:00,79.66,79.89,79.03,79.67,1192783,0,81.59,75.43,78.51
06/28/2011,22:00,79.76,79.84,79.24,79.44,1651701,0,81.68,75.50,78.59
06/29/2011,22:00,79.68,80.62,79.55,80.37,1630437,0,81.72,75.93,78.82
06/30/2011,22:00,80.44,81.27,80.09,80.97,1487229,0,81.75,76.41,79.08
07/01/2011,22:00,80.87,82.01,80.69,81.97,1200818,0,81.99,76.74,79.37
07/05/2011,22:00,81.55,81.63,80.64,80.97,1309085,0,82.09,77.00,79.55
07/06/2011,22:00,80.93,81.93,80.93,81.62,2339319,0,82.24,77.28,79.76
07/07/2011,22:00,82.16,82.23,81.24,81.36,1950441,0,82.23,77.72,79.97
07/08/2011,22:00,80.86,81.03,80.31,80.51,2071123,0,82.15,78.06,80.11
07/11/2011,22:00,79.64,80.11,79.51,79.98,1733710,0,81.84,78.64,80.24
07/12/2011,22:00,79.95,80.00,79.25,79.71,1975862,0,81.77,78.79,80.28
07/13/2011,22:00,79.98,80.88,79.44,79.67,1824657,0,81.77,78.80,80.28
07/14/2011,22:00,79.57,79.72,78.94,79.20,1574488,0,81.80,78.73,80.26
07/15/2011,22:00,79.40,79.46,77.61,78.37,2332991,0,81.93,78.45,80.19
