"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,24.53,25.05,24.41,24.74,6915210,0,0.00,0.00,0.00
02/23/2011,22:00,24.74,24.93,24.41,24.41,8439900,0,0.00,0.00,0.00
02/24/2011,22:00,24.50,24.66,24.30,24.42,9580920,0,0.00,0.00,0.00
02/25/2011,22:00,24.67,24.93,24.50,24.67,9825430,0,0.00,0.00,0.00
02/28/2011,22:00,24.78,24.79,24.04,24.06,13372080,0,0.00,0.00,0.00
03/01/2011,22:00,24.25,24.70,24.04,24.04,12125210,0,0.00,0.00,0.00
03/02/2011,22:00,24.08,24.70,24.04,24.62,7797390,0,0.00,0.00,0.00
03/03/2011,22:00,24.69,25.17,24.67,25.17,10238350,0,0.00,0.00,0.00
03/04/2011,22:00,24.99,25.18,24.86,24.98,6891420,0,0.00,0.00,0.00
03/07/2011,22:00,24.98,25.29,24.65,24.73,7926570,0,0.00,0.00,0.00
03/08/2011,22:00,24.66,25.16,24.50,24.90,8049190,0,0.00,0.00,0.00
03/09/2011,22:00,24.84,25.19,24.74,24.80,8961200,0,0.00,0.00,0.00
03/10/2011,22:00,24.75,24.75,24.21,24.36,10315270,0,0.00,0.00,0.00
03/11/2011,22:00,24.20,24.90,24.20,24.84,5006380,0,0.00,0.00,0.00
03/14/2011,22:00,24.78,24.96,24.62,24.88,7356610,0,0.00,0.00,0.00
03/15/2011,22:00,24.30,24.66,24.19,24.47,9517080,0,0.00,0.00,0.00
03/16/2011,22:00,24.45,24.84,24.39,24.43,9589620,0,0.00,0.00,0.00
03/17/2011,22:00,24.68,24.90,24.23,24.38,6945040,0,0.00,0.00,0.00
03/18/2011,22:00,24.45,24.63,24.14,24.17,9173030,0,0.00,0.00,0.00
03/21/2011,22:00,24.33,24.80,24.33,24.80,7056970,0,0.00,0.00,0.00
03/22/2011,22:00,24.79,24.93,24.64,24.68,8085580,0,25.19,23.99,24.59
03/23/2011,22:00,24.66,24.84,24.57,24.69,6608560,0,25.20,24.01,24.60
03/24/2011,22:00,24.80,25.31,24.55,25.23,8619050,0,25.29,24.00,24.65
03/25/2011,22:00,25.28,25.33,24.74,24.77,11575410,0,25.30,24.00,24.65
03/28/2011,22:00,25.08,25.43,24.78,25.24,13285570,0,25.35,24.07,24.71
03/29/2011,22:00,25.16,25.29,24.94,25.17,7479930,0,25.36,24.17,24.77
03/30/2011,22:00,25.66,26.24,25.22,25.37,19215200,0,25.45,24.16,24.80
03/31/2011,22:00,25.31,25.57,25.11,25.17,8263640,0,25.45,24.16,24.80
04/01/2011,22:00,25.20,25.51,25.19,25.36,7967140,0,25.51,24.14,24.82
04/04/2011,22:00,25.49,26.13,25.49,26.13,9016330,0,25.78,24.00,24.89
04/05/2011,22:00,26.08,26.46,25.94,26.29,14003570,0,26.04,23.88,24.96
04/06/2011,22:00,26.39,26.56,26.19,26.55,9952090,0,26.33,23.77,25.05
04/07/2011,22:00,26.55,26.60,26.28,26.52,7458960,0,26.54,23.77,25.16
04/08/2011,22:00,26.70,26.70,26.30,26.31,8663510,0,26.70,23.77,25.23
04/11/2011,22:00,26.29,26.75,26.22,26.66,7560770,0,26.90,23.74,25.32
04/12/2011,22:00,26.05,26.73,26.05,26.30,9677160,0,27.00,23.83,25.41
04/13/2011,22:00,26.50,27.00,26.45,26.98,12730800,0,27.20,23.88,25.54
04/14/2011,22:00,26.80,26.99,26.70,26.89,6237690,0,27.33,24.00,25.66
04/15/2011,22:00,26.90,26.95,26.42,26.76,12412470,0,27.38,24.21,25.79
04/18/2011,22:00,26.65,26.65,26.35,26.51,6750880,0,27.42,24.34,25.88
04/19/2011,22:00,26.60,26.89,26.55,26.71,5973670,0,27.46,24.50,25.98
04/20/2011,22:00,26.93,27.38,26.85,27.00,7366530,0,27.52,24.68,26.10
04/21/2011,22:00,27.00,27.34,26.90,27.33,7150130,0,27.66,24.74,26.20
04/25/2011,22:00,27.30,27.40,27.07,27.14,5666370,0,27.67,24.96,26.32
04/26/2011,22:00,27.17,27.81,27.11,27.64,6496530,0,27.82,25.06,26.44
04/27/2011,22:00,27.52,27.63,27.16,27.54,5516900,0,27.88,25.23,26.56
04/28/2011,22:00,27.58,27.58,27.40,27.47,4600820,0,27.93,25.40,26.66
04/29/2011,22:00,27.47,27.59,27.35,27.59,7505560,0,27.91,25.66,26.78
05/02/2011,22:00,27.70,28.00,27.50,27.53,8275300,0,27.85,25.93,26.89
05/03/2011,22:00,28.20,28.68,28.03,28.24,14850660,0,28.06,25.94,27.00
05/04/2011,22:00,27.97,28.31,27.82,28.24,10910560,0,28.23,25.96,27.10
05/05/2011,22:00,28.05,28.20,27.31,27.45,10776270,0,28.26,26.02,27.14
05/06/2011,22:00,27.50,27.77,27.39,27.43,6311050,0,28.27,26.10,27.19
05/09/2011,22:00,27.45,27.93,27.31,27.88,5101470,0,28.31,26.21,27.26
05/10/2011,22:00,27.97,28.16,27.89,28.11,5253100,0,28.41,26.26,27.34
05/11/2011,22:00,28.10,28.20,27.71,27.81,6759100,0,28.39,26.43,27.41
05/12/2011,22:00,27.78,28.28,27.67,28.21,7254280,0,28.49,26.46,27.47
05/13/2011,22:00,28.27,28.27,27.95,28.00,5838740,0,28.53,26.53,27.53
05/16/2011,22:00,27.71,28.22,27.68,27.92,6073790,0,28.54,26.63,27.59
05/17/2011,22:00,28.00,28.22,27.65,28.20,11201100,0,28.52,26.82,27.67
05/18/2011,22:00,28.00,28.29,27.79,28.14,7086640,0,28.49,27.00,27.74
05/19/2011,22:00,28.18,28.48,28.10,28.41,6321260,0,28.53,27.09,27.81
05/20/2011,22:00,28.43,28.48,27.73,27.76,9858700,0,28.52,27.15,27.84
