"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,92.73,93.65,91.82,92.00,5032395,0,0.00,0.00,0.00
02/23/2011,22:00,92.57,92.58,89.87,90.26,5361408,0,0.00,0.00,0.00
02/24/2011,22:00,90.43,90.73,89.27,90.03,3996068,0,0.00,0.00,0.00
02/25/2011,22:00,89.75,90.67,89.69,90.25,2859485,0,0.00,0.00,0.00
02/28/2011,22:00,91.90,92.64,91.10,92.23,4797334,0,0.00,0.00,0.00
03/01/2011,22:00,92.19,92.35,90.44,90.46,4009080,0,0.00,0.00,0.00
03/02/2011,22:00,90.24,92.20,90.24,91.32,2809598,0,0.00,0.00,0.00
03/03/2011,22:00,91.85,93.40,91.85,92.81,3064574,0,0.00,0.00,0.00
03/04/2011,22:00,92.71,93.29,91.35,92.19,2772720,0,0.00,0.00,0.00
03/07/2011,22:00,92.58,93.55,92.02,92.40,3792165,0,0.00,0.00,0.00
03/08/2011,22:00,92.37,94.16,92.30,93.75,3624359,0,0.00,0.00,0.00
03/09/2011,22:00,93.52,93.74,92.58,93.17,2118433,0,0.00,0.00,0.00
03/10/2011,22:00,92.32,92.32,90.00,90.01,5102425,0,0.00,0.00,0.00
03/11/2011,22:00,89.71,92.05,89.71,91.61,3507211,0,0.00,0.00,0.00
03/14/2011,22:00,91.21,91.21,89.90,91.02,3553196,0,0.00,0.00,0.00
03/15/2011,22:00,89.05,90.09,88.06,89.50,5277635,0,0.00,0.00,0.00
03/16/2011,22:00,89.06,89.24,86.91,87.55,6389969,0,0.00,0.00,0.00
03/17/2011,22:00,88.59,88.97,88.05,88.69,3583709,0,0.00,0.00,0.00
03/18/2011,22:00,89.72,90.10,88.53,88.98,4828820,0,0.00,0.00,0.00
03/21/2011,22:00,90.38,91.80,90.17,90.95,3576928,0,0.00,0.00,0.00
03/22/2011,22:00,90.96,91.48,90.41,90.70,2067467,0,93.98,87.81,90.89
03/23/2011,22:00,90.62,92.66,90.60,92.14,3978431,0,94.11,87.87,90.99
03/24/2011,22:00,92.61,92.98,91.89,92.58,2596984,0,94.28,87.96,91.12
03/25/2011,22:00,92.87,92.96,92.13,92.27,2750593,0,94.39,88.04,91.22
03/28/2011,22:00,92.42,92.82,92.12,92.12,2414605,0,94.38,88.05,91.21
03/29/2011,22:00,92.27,92.90,91.90,92.84,2222234,0,94.55,88.11,91.33
03/30/2011,22:00,92.84,93.16,92.33,92.47,3567170,0,94.65,88.13,91.39
03/31/2011,22:00,92.41,93.67,92.36,93.50,3206819,0,94.76,88.09,91.42
04/01/2011,22:00,93.53,94.33,92.62,93.13,3547233,0,94.87,88.07,91.47
04/04/2011,22:00,92.68,93.83,92.68,93.64,1962849,0,95.04,88.02,91.53
04/05/2011,22:00,93.51,94.00,93.02,93.39,2305954,0,94.98,88.04,91.51
04/06/2011,22:00,93.94,94.10,93.22,93.82,2499136,0,95.09,88.00,91.55
04/07/2011,22:00,93.51,93.93,92.60,93.19,3439683,0,95.24,88.17,91.70
04/08/2011,22:00,93.59,93.75,92.62,93.22,2464598,0,95.38,88.19,91.79
04/11/2011,22:00,93.59,94.64,93.40,93.80,3221707,0,95.61,88.24,91.92
04/12/2011,22:00,93.20,93.27,92.03,92.37,3912566,0,95.58,88.55,92.07
04/13/2011,22:00,93.07,93.25,92.55,92.86,2838631,0,95.18,89.49,92.33
04/14/2011,22:00,92.43,93.22,91.75,92.94,2290819,0,94.86,90.23,92.55
04/15/2011,22:00,92.89,93.14,91.98,92.82,3111787,0,94.37,91.11,92.74
04/18/2011,22:00,91.94,91.94,90.58,91.45,3642975,0,94.30,91.23,92.76
04/19/2011,22:00,91.65,92.03,91.47,91.86,2435097,0,94.11,91.53,92.82
04/20/2011,22:00,92.97,94.42,92.93,93.76,3640779,0,94.21,91.59,92.90
04/21/2011,22:00,94.09,94.43,93.66,93.92,2931209,0,94.34,91.60,92.97
04/25/2011,22:00,93.86,94.32,93.27,94.12,2187675,0,94.48,91.64,93.06
04/26/2011,22:00,95.01,96.59,94.39,95.94,8005772,0,95.08,91.42,93.25
04/27/2011,22:00,95.67,96.54,95.38,96.47,3777149,0,95.73,91.14,93.43
