"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,26.78,27.10,26.52,26.59,60888998,0,0.00,0.00,0.00
02/23/2011,22:00,26.53,26.86,26.43,26.59,60234083,0,0.00,0.00,0.00
02/24/2011,22:00,26.64,27.06,26.50,26.77,64499005,0,0.00,0.00,0.00
02/25/2011,22:00,26.91,26.95,26.50,26.55,53006263,0,0.00,0.00,0.00
02/28/2011,22:00,26.69,26.86,26.51,26.58,51379675,0,0.00,0.00,0.00
03/01/2011,22:00,26.60,26.78,26.15,26.16,60054986,0,0.00,0.00,0.00
03/02/2011,22:00,26.11,26.37,26.04,26.08,48658193,0,0.00,0.00,0.00
03/03/2011,22:00,26.26,26.40,26.18,26.20,68271500,0,0.00,0.00,0.00
03/04/2011,22:00,26.22,26.24,25.80,25.95,70437154,0,0.00,0.00,0.00
03/07/2011,22:00,26.13,26.27,25.55,25.72,64987131,0,0.00,0.00,0.00
03/08/2011,22:00,25.77,26.02,25.65,25.91,50555383,0,0.00,0.00,0.00
03/09/2011,22:00,25.81,25.98,25.66,25.89,39792379,0,0.00,0.00,0.00
03/10/2011,22:00,25.62,25.71,25.35,25.41,66557502,0,0.00,0.00,0.00
03/11/2011,22:00,25.41,25.85,25.36,25.68,49906849,0,0.00,0.00,0.00
03/14/2011,22:00,25.49,25.76,25.35,25.69,54456558,0,0.00,0.00,0.00
03/15/2011,22:00,25.08,25.47,25.00,25.39,76064201,0,0.00,0.00,0.00
03/16/2011,22:00,25.22,25.28,24.68,24.79,100718988,0,0.00,0.00,0.00
03/17/2011,22:00,25.06,25.22,24.75,24.78,62506557,0,0.00,0.00,0.00
03/18/2011,22:00,25.06,25.18,24.80,24.80,85486688,0,0.00,0.00,0.00
03/21/2011,22:00,25.18,25.58,25.15,25.33,46895059,0,0.00,0.00,0.00
03/22/2011,22:00,25.30,25.46,25.23,25.30,30903641,0,26.96,24.59,25.78
03/23/2011,22:00,25.23,25.61,25.18,25.54,44018832,0,26.85,24.60,25.73
03/24/2011,22:00,25.60,25.87,25.50,25.81,38696661,0,26.70,24.65,25.68
03/25/2011,22:00,25.93,25.95,25.59,25.62,57031023,0,26.57,24.69,25.63
03/28/2011,22:00,25.66,25.72,25.38,25.41,48975380,0,26.41,24.73,25.57
03/29/2011,22:00,25.34,25.52,25.30,25.49,40772423,0,26.33,24.74,25.54
03/30/2011,22:00,25.60,25.72,25.50,25.61,42000178,0,26.27,24.76,25.52
03/31/2011,22:00,25.60,25.68,25.34,25.39,63281785,0,26.16,24.79,25.48
04/01/2011,22:00,25.53,25.53,25.31,25.48,63114201,0,26.11,24.80,25.45
04/04/2011,22:00,25.45,25.66,25.41,25.55,35441052,0,26.09,24.80,25.44
04/05/2011,22:00,25.82,26.18,25.74,25.78,73693937,0,26.06,24.81,25.44
04/06/2011,22:00,25.98,26.31,25.86,26.15,65589617,0,26.12,24.78,25.45
04/07/2011,22:00,26.19,26.26,25.97,26.20,46134637,0,26.24,24.74,25.49
04/08/2011,22:00,26.17,26.28,25.96,26.07,39890629,0,26.30,24.72,25.51
04/11/2011,22:00,26.19,26.25,25.80,25.98,34286211,0,26.33,24.71,25.52
04/12/2011,22:00,25.83,25.85,25.55,25.64,36936975,0,26.34,24.73,25.54
04/13/2011,22:00,25.65,25.87,25.56,25.63,38144621,0,26.31,24.85,25.58
04/14/2011,22:00,25.42,25.44,25.09,25.42,55245529,0,26.25,24.97,25.61
04/15/2011,22:00,25.46,25.56,25.18,25.37,65080348,0,26.17,25.10,25.64
04/18/2011,22:00,25.10,25.28,24.72,25.08,58046281,0,26.20,25.05,25.63
04/19/2011,22:00,25.00,25.17,24.87,25.15,38892333,0,26.21,25.02,25.62
04/20/2011,22:00,25.54,26.00,25.51,25.76,61608587,0,26.23,25.03,25.63
04/21/2011,22:00,25.79,25.89,25.36,25.52,46892292,0,26.21,25.02,25.61
04/25/2011,22:00,25.56,25.62,25.34,25.61,33525057,0,26.21,25.02,25.61
04/26/2011,22:00,25.74,26.44,25.67,26.19,69199457,0,26.29,25.02,25.65
04/27/2011,22:00,26.30,26.39,26.13,26.38,52688981,0,26.40,24.99,25.70
04/28/2011,22:00,26.46,26.87,26.40,26.71,80158577,0,26.58,24.92,25.75
04/29/2011,22:00,26.55,26.64,25.36,25.92,319317852,0,26.59,24.97,25.78
05/02/2011,22:00,25.94,26.00,25.48,25.66,89834099,0,26.59,24.98,25.79
05/03/2011,22:00,25.60,25.85,25.49,25.81,71909361,0,26.60,25.00,25.80
05/04/2011,22:00,25.85,26.25,25.79,26.06,73292270,0,26.62,25.01,25.82
05/05/2011,22:00,26.05,26.08,25.68,25.79,55626793,0,26.59,25.01,25.80
05/06/2011,22:00,26.07,26.22,25.75,25.87,55993642,0,26.55,25.01,25.78
05/09/2011,22:00,25.80,25.96,25.67,25.83,38696376,0,26.53,25.01,25.77
05/10/2011,22:00,25.38,25.85,25.25,25.67,120806139,0,26.51,25.00,25.75
05/11/2011,22:00,25.65,25.66,25.21,25.36,78604669,0,26.51,24.97,25.74
05/12/2011,22:00,25.35,25.39,25.10,25.32,77366952,0,26.52,24.93,25.72
05/13/2011,22:00,25.28,25.32,24.95,25.03,66819290,0,26.54,24.87,25.70
05/16/2011,22:00,24.96,25.07,24.50,24.57,91402408,0,26.63,24.70,25.66
05/17/2011,22:00,24.40,24.70,24.27,24.52,82894458,0,26.70,24.58,25.64
05/18/2011,22:00,24.53,24.74,24.25,24.69,53931025,0,26.73,24.49,25.61
05/19/2011,22:00,24.85,24.88,24.50,24.72,37783590,0,26.74,24.38,25.56
05/20/2011,22:00,24.72,24.87,24.44,24.49,45451462,0,26.78,24.24,25.51
05/23/2011,22:00,24.21,24.25,24.03,24.17,52703425,0,26.84,24.04,25.44
05/24/2011,22:00,24.20,24.29,24.04,24.15,47692976,0,26.80,23.88,25.34
05/25/2011,22:00,24.17,24.31,24.16,24.19,34903112,0,26.68,23.77,25.23
05/26/2011,22:00,24.35,25.03,24.32,24.67,78016538,0,26.43,23.82,25.12
05/27/2011,22:00,24.68,24.90,24.65,24.76,50259098,0,26.33,23.80,25.07
05/31/2011,22:00,24.96,25.06,24.70,25.01,60196203,0,26.27,23.80,25.03
06/01/2011,22:00,24.99,25.10,24.37,24.43,74036467,0,26.17,23.76,24.97
06/02/2011,22:00,24.49,24.65,24.18,24.22,51487738,0,26.01,23.74,24.87
