"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,13.53,13.68,13.53,13.66,7270052,0,0.00,0.00,0.00
02/23/2011,22:00,13.47,13.71,13.47,13.59,7502644,0,0.00,0.00,0.00
02/24/2011,22:00,13.56,13.70,13.55,13.60,7471436,0,0.00,0.00,0.00
02/25/2011,22:00,13.61,13.71,13.61,13.67,4550536,0,0.00,0.00,0.00
02/28/2011,22:00,13.66,13.89,13.66,13.87,8807368,0,0.00,0.00,0.00
03/01/2011,22:00,13.87,13.89,13.53,13.53,12269408,0,0.00,0.00,0.00
03/02/2011,22:00,13.41,13.46,13.33,13.45,7939048,0,0.00,0.00,0.00
03/03/2011,22:00,13.52,13.69,13.51,13.61,8677568,0,0.00,0.00,0.00
03/04/2011,22:00,13.61,13.69,13.47,13.69,9454324,0,0.00,0.00,0.00
03/07/2011,22:00,13.70,13.75,13.59,13.66,6348200,0,0.00,0.00,0.00
03/08/2011,22:00,13.68,13.87,13.68,13.83,6099796,0,0.00,0.00,0.00
03/09/2011,22:00,13.83,13.95,13.70,13.94,6565524,0,0.00,0.00,0.00
03/10/2011,22:00,13.84,13.97,13.75,13.84,8391524,0,0.00,0.00,0.00
03/11/2011,22:00,13.78,13.97,13.78,13.92,8683624,0,0.00,0.00,0.00
03/14/2011,22:00,13.80,13.84,13.66,13.77,9782620,0,0.00,0.00,0.00
03/15/2011,22:00,13.76,13.76,13.44,13.44,13112388,0,0.00,0.00,0.00
03/16/2011,22:00,13.45,13.46,13.01,13.15,12620404,0,0.00,0.00,0.00
03/17/2011,22:00,13.28,13.33,13.10,13.21,8147732,0,0.00,0.00,0.00
03/18/2011,22:00,13.30,13.40,13.14,13.19,9977352,0,0.00,0.00,0.00
03/21/2011,22:00,13.31,13.58,13.29,13.44,5877148,0,0.00,0.00,0.00
03/22/2011,22:00,13.48,13.52,13.38,13.47,5501608,0,14.05,13.13,13.59
03/23/2011,22:00,13.43,13.48,13.36,13.42,3446300,0,14.05,13.12,13.59
03/24/2011,22:00,13.50,13.53,13.39,13.51,7415172,0,14.05,13.11,13.58
03/25/2011,22:00,13.56,13.58,13.47,13.53,4746100,0,14.04,13.11,13.57
03/28/2011,22:00,13.56,13.62,13.44,13.44,5923032,0,14.00,13.10,13.55
03/29/2011,22:00,13.46,13.68,13.41,13.67,5369272,0,14.01,13.11,13.56
03/30/2011,22:00,13.73,13.77,13.66,13.75,7840796,0,14.03,13.12,13.57
03/31/2011,22:00,13.71,13.80,13.69,13.78,6736904,0,14.05,13.12,13.58
04/01/2011,22:00,13.81,13.98,13.80,13.98,8686336,0,14.09,13.10,13.60
04/04/2011,22:00,13.96,14.05,13.94,14.05,8148604,0,14.15,13.08,13.62
04/05/2011,22:00,13.98,14.09,13.96,14.08,7604884,0,14.19,13.07,13.63
04/06/2011,22:00,14.09,14.15,14.03,14.14,6324300,0,14.23,13.05,13.64
04/07/2011,22:00,14.09,14.10,13.94,14.01,11016716,0,14.25,13.04,13.65
04/08/2011,22:00,14.02,14.08,13.88,14.00,6604880,0,14.27,13.04,13.65
04/11/2011,22:00,14.00,14.03,13.77,13.79,9898376,0,14.27,13.04,13.65
04/12/2011,22:00,13.75,13.85,13.71,13.78,7767244,0,14.28,13.06,13.67
04/13/2011,22:00,13.82,13.89,13.73,13.74,6660948,0,14.26,13.14,13.70
04/14/2011,22:00,13.71,13.84,13.65,13.79,4882296,0,14.24,13.21,13.73
04/15/2011,22:00,13.84,13.92,13.75,13.78,11050584,0,14.21,13.30,13.76
04/18/2011,22:00,13.67,13.74,13.57,13.73,7559200,0,14.20,13.34,13.77
04/19/2011,22:00,13.72,13.77,13.68,13.72,5363412,0,14.19,13.38,13.78
04/20/2011,22:00,13.83,13.94,13.78,13.92,5230656,0,14.19,13.43,13.81
04/21/2011,22:00,13.94,13.95,13.83,13.88,4587684,0,14.18,13.48,13.83
04/25/2011,22:00,13.87,13.92,13.83,13.87,3615080,0,14.17,13.52,13.85
04/26/2011,22:00,13.90,14.02,13.89,14.01,5522920,0,14.15,13.60,13.87
04/27/2011,22:00,14.03,14.07,13.93,14.05,6120312,0,14.16,13.63,13.89
04/28/2011,22:00,14.02,14.25,14.00,14.21,7140700,0,14.21,13.62,13.92
04/29/2011,22:00,14.14,14.22,14.03,14.14,7058828,0,14.23,13.63,13.93
05/02/2011,22:00,14.19,14.24,14.09,14.15,7726292,0,14.26,13.63,13.94
05/03/2011,22:00,14.16,14.36,14.12,14.34,9066556,0,14.31,13.60,13.96
05/04/2011,22:00,14.32,14.42,14.22,14.36,7965072,0,14.36,13.58,13.97
05/05/2011,22:00,14.32,14.35,14.20,14.26,7168660,0,14.38,13.57,13.98
05/06/2011,22:00,14.36,14.48,14.26,14.35,5763528,0,14.43,13.55,13.99
05/09/2011,22:00,14.33,14.43,14.21,14.41,4970056,0,14.49,13.54,14.01
05/10/2011,22:00,14.45,14.64,14.43,14.59,5801936,0,14.58,13.53,14.05
05/11/2011,22:00,14.54,14.62,14.45,14.56,5018768,0,14.65,13.54,14.09
05/12/2011,22:00,14.53,14.74,14.49,14.72,6024416,0,14.73,13.55,14.14
05/13/2011,22:00,14.72,14.74,14.56,14.66,5672752,0,14.79,13.58,14.19
05/16/2011,22:00,14.64,14.75,14.50,14.52,7944300,0,14.82,13.63,14.22
05/17/2011,22:00,14.53,14.68,14.48,14.65,6324320,0,14.85,13.69,14.27
05/18/2011,22:00,14.63,14.66,14.55,14.63,6140000,0,14.86,13.77,14.31
05/19/2011,22:00,14.69,14.71,14.55,14.60,7040512,0,14.87,13.83,14.35
05/20/2011,22:00,14.59,14.63,14.42,14.45,9372768,0,14.85,13.90,14.38
05/23/2011,22:00,14.32,14.47,14.30,14.40,6981456,0,14.82,13.99,14.40
05/24/2011,22:00,14.39,14.43,14.32,14.35,5944168,0,14.80,14.04,14.42
05/25/2011,22:00,14.30,14.34,14.13,14.25,7883180,0,14.78,14.08,14.43
05/26/2011,22:00,14.19,14.30,14.12,14.28,5629416,0,14.77,14.09,14.43
05/27/2011,22:00,14.33,14.37,14.28,14.34,4580992,0,14.76,14.13,14.44
05/31/2011,22:00,14.42,14.49,14.41,14.49,7274372,0,14.75,14.17,14.46
06/01/2011,22:00,14.37,14.38,14.18,14.19,6678320,0,14.76,14.15,14.45
06/02/2011,22:00,14.17,14.19,13.98,14.05,5822568,0,14.79,14.09,14.44
06/03/2011,22:00,13.56,13.94,13.54,13.92,13459892,0,14.83,14.01,14.42
06/06/2011,22:00,13.87,13.95,13.78,13.85,7831380,0,14.88,13.92,14.40
06/07/2011,22:00,13.87,14.02,13.85,13.85,7762376,0,14.90,13.83,14.37
06/08/2011,22:00,13.84,13.93,13.82,13.88,5769512,0,14.90,13.77,14.33
06/09/2011,22:00,13.90,13.99,13.86,13.91,4399360,0,14.88,13.72,14.30
06/10/2011,22:00,13.89,14.01,13.84,13.87,10028428,0,14.84,13.68,14.26
06/13/2011,22:00,13.90,14.01,13.84,13.98,5240788,0,14.78,13.66,14.22
06/14/2011,22:00,14.09,14.09,13.92,13.97,5716216,0,14.75,13.64,14.20
06/15/2011,22:00,13.95,14.06,13.81,13.87,6592140,0,14.68,13.63,14.16
06/16/2011,22:00,13.90,14.07,13.90,14.04,7690152,0,14.61,13.64,14.13
06/17/2011,22:00,14.14,14.25,14.13,14.16,7713892,0,14.54,13.67,14.10
06/20/2011,22:00,14.13,14.27,14.03,14.26,6325260,0,14.51,13.69,14.10
06/21/2011,22:00,14.30,14.32,14.18,14.24,5384760,0,14.48,13.70,14.09
06/22/2011,22:00,14.19,14.24,14.10,14.18,7033500,0,14.45,13.70,14.08
06/23/2011,22:00,14.08,14.14,13.95,14.10,5972144,0,14.44,13.70,14.07
06/24/2011,22:00,14.13,14.25,14.07,14.15,7324684,0,14.42,13.71,14.06
06/27/2011,22:00,14.16,14.26,14.16,14.25,5919928,0,14.41,13.72,14.06
06/28/2011,22:00,14.26,14.31,14.18,14.27,4052564,0,14.35,13.75,14.05
06/29/2011,22:00,14.31,14.35,14.24,14.31,6011140,0,14.37,13.74,14.06
06/30/2011,22:00,14.35,14.37,14.22,14.37,6625616,0,14.42,13.73,14.07
07/01/2011,22:00,14.35,14.56,14.35,14.55,5607180,0,14.50,13.71,14.10
07/05/2011,22:00,14.47,14.52,14.37,14.42,5803080,0,14.53,13.73,14.13
07/06/2011,22:00,14.40,14.51,14.36,14.44,4794784,0,14.56,13.76,14.16
07/07/2011,22:00,14.51,14.54,14.41,14.51,5130556,0,14.60,13.79,14.19
07/08/2011,22:00,14.43,14.46,14.35,14.43,4080924,0,14.61,13.82,14.22
07/11/2011,22:00,14.30,14.33,14.21,14.29,4928696,0,14.60,13.88,14.24
07/12/2011,22:00,14.25,14.42,14.21,14.32,6296892,0,14.60,13.91,14.26
07/13/2011,22:00,14.36,14.41,14.28,14.30,6560164,0,14.59,13.95,14.27
07/14/2011,22:00,14.31,14.39,14.23,14.25,5922432,0,14.55,14.03,14.29
07/15/2011,22:00,14.26,14.28,14.15,14.20,8252292,0,14.54,14.06,14.30
07/18/2011,22:00,14.16,14.20,14.03,14.09,5146792,0,14.54,14.05,14.30
07/19/2011,22:00,14.13,14.23,14.01,14.19,5189864,0,14.54,14.04,14.29
07/20/2011,22:00,14.20,14.30,14.12,14.24,4886456,0,14.54,14.04,14.29
07/21/2011,22:00,14.32,14.53,14.31,14.47,5188680,0,14.56,14.05,14.31
07/22/2011,22:00,14.50,14.50,14.34,14.37,3899956,0,14.56,14.08,14.32
07/25/2011,22:00,14.28,14.46,14.26,14.39,4091616,0,14.56,14.11,14.33
07/26/2011,22:00,14.38,14.45,14.32,14.34,7266104,0,14.56,14.11,14.34
