"Date","Time","Open","High","Low","Close","Vol","OI","UpperBand","LowerBand","MidLine"
02/22/2011,22:00,4.58,4.60,4.36,4.37,10322700,0,0.00,0.00,0.00
02/23/2011,22:00,4.44,4.50,4.22,4.37,8028540,0,0.00,0.00,0.00
02/24/2011,22:00,4.36,4.52,4.30,4.51,5277250,0,0.00,0.00,0.00
02/25/2011,22:00,4.56,4.77,4.54,4.72,6736285,0,0.00,0.00,0.00
02/28/2011,22:00,4.75,4.82,4.70,4.78,5255530,0,0.00,0.00,0.00
03/01/2011,22:00,4.81,4.86,4.74,4.79,5531750,0,0.00,0.00,0.00
03/02/2011,22:00,4.76,4.86,4.75,4.80,3316470,0,0.00,0.00,0.00
03/03/2011,22:00,4.90,4.96,4.81,4.87,3200700,0,0.00,0.00,0.00
03/04/2011,22:00,4.90,5.00,4.76,4.99,7900500,0,0.00,0.00,0.00
03/07/2011,22:00,4.99,5.08,4.94,4.99,10167655,0,0.00,0.00,0.00
03/08/2011,22:00,4.92,4.99,4.80,4.93,6999255,0,0.00,0.00,0.00
03/09/2011,22:00,4.93,5.00,4.85,4.94,4623605,0,0.00,0.00,0.00
03/10/2011,22:00,4.89,4.90,4.75,4.80,5085235,0,0.00,0.00,0.00
03/11/2011,22:00,4.77,4.85,4.71,4.81,4653970,0,0.00,0.00,0.00
03/14/2011,22:00,4.76,4.80,4.64,4.65,5829855,0,0.00,0.00,0.00
03/15/2011,22:00,4.44,4.59,4.36,4.59,6594345,0,0.00,0.00,0.00
03/16/2011,22:00,4.57,4.65,4.54,4.56,5848380,0,0.00,0.00,0.00
03/17/2011,22:00,4.65,4.69,4.53,4.56,4612520,0,0.00,0.00,0.00
03/18/2011,22:00,4.64,4.64,4.50,4.59,3439115,0,0.00,0.00,0.00
03/21/2011,22:00,4.61,4.61,4.51,4.55,2058250,0,0.00,0.00,0.00
03/22/2011,22:00,4.55,4.57,4.40,4.44,2914065,0,5.07,4.35,4.71
03/23/2011,22:00,4.42,4.45,4.35,4.44,2113965,0,5.06,4.37,4.72
03/24/2011,22:00,4.43,4.48,4.40,4.47,2310800,0,5.07,4.36,4.71
03/25/2011,22:00,4.49,4.60,4.48,4.55,2839610,0,5.07,4.34,4.70
03/28/2011,22:00,4.54,4.71,4.51,4.65,5290090,0,5.06,4.34,4.70
03/29/2011,22:00,4.66,4.80,4.64,4.78,3777955,0,5.06,4.34,4.70
03/30/2011,22:00,4.82,4.90,4.60,4.74,6119385,0,5.05,4.34,4.70
03/31/2011,22:00,5.31,5.74,5.30,5.55,57611685,0,5.24,4.22,4.73
04/01/2011,22:00,5.53,5.64,5.31,5.33,14325435,0,5.31,4.18,4.75
04/04/2011,22:00,5.37,5.40,5.05,5.17,13046135,0,5.34,4.17,4.76
04/05/2011,22:00,5.18,5.40,5.14,5.34,15908635,0,5.41,4.14,4.78
04/06/2011,22:00,5.40,5.40,5.16,5.30,6441485,0,5.47,4.12,4.79
04/07/2011,22:00,5.37,5.59,5.29,5.45,14053830,0,5.56,4.09,4.83
04/08/2011,22:00,5.52,5.52,5.27,5.30,9731760,0,5.61,4.09,4.85
04/11/2011,22:00,5.29,5.31,5.00,5.05,6861000,0,5.63,4.11,4.87
04/12/2011,22:00,5.02,5.04,4.86,4.93,6787005,0,5.64,4.14,4.89
04/13/2011,22:00,5.03,5.14,4.96,4.99,6057220,0,5.64,4.18,4.91
04/14/2011,22:00,4.97,5.06,4.84,5.03,4916910,0,5.65,4.21,4.93
04/15/2011,22:00,5.13,5.24,5.08,5.12,4717255,0,5.66,4.25,4.96
04/18/2011,22:00,5.03,5.12,4.87,5.01,5169355,0,5.66,4.30,4.98
04/19/2011,22:00,5.05,5.05,4.93,5.03,2743465,0,5.64,4.38,5.01
04/20/2011,22:00,5.14,5.22,5.06,5.15,4187345,0,5.62,4.47,5.05
04/21/2011,22:00,5.17,5.40,5.12,5.35,6930265,0,5.62,4.57,5.09
04/25/2011,22:00,5.34,5.35,5.19,5.28,4004195,0,5.60,4.66,5.13
04/26/2011,22:00,5.33,5.45,5.26,5.39,6861715,0,5.59,4.74,5.16
04/27/2011,22:00,5.39,5.47,5.33,5.42,4984505,0,5.60,4.79,5.20
04/28/2011,22:00,5.41,5.54,5.34,5.53,8224985,0,5.61,4.87,5.24
